lg8.2	contig-0007326	223368226	7297470	3396401	3427370	3839871	3808874
lg8.2	contig-0007326	223368226	7297470	3436673	3461354	3754000	3729355
lg8.2	contig-0007326	223368226	7297470	3461503	3479446	3729347	3711407
lg8.2	contig-0007326	223368226	7297470	3502151	3552691	3711533	3660973
lg8.2	contig-0007326	223368226	7297470	3552415	3611574	3661141	3601984
lg8.2	contig-0007326	223368226	7297470	3611573	3666565	3601803	3546845
lg8.2	contig-0007326	223368226	7297470	3665827	3708183	3547752	3505378
lg8.2	contig-0007326	223368226	7297470	3708292	3747749	3505378	3465911
lg8.2	contig-0007326	223368226	7297470	3751037	3839021	3465916	3377698
lg8.2	contig-0007326	223368226	7297470	3811637	3827452	3382065	3366132
lg8.2	contig-0007326	223368226	7297470	3817470	3879835	3387677	3325306
lg8.2	contig-0007326	223368226	7297470	3884261	3899130	3320663	3305779
lg8.2	contig-0007326	223368226	7297470	3899126	3922884	3305537	3281775
lg8.2	contig-0007326	223368226	7297470	3956674	3983282	3273751	3247126
lg8.2	contig-0007326	223368226	7297470	3983346	4019384	3235279	3199234
lg8.2	contig-0007326	223368226	7297470	4019421	4029848	3199236	3188822
lg8.2	contig-0007326	223368226	7297470	4052237	4101588	3189159	3139743
lg8.2	contig-0007326	223368226	7297470	4111147	4122075	3136033	3125080
lg8.2	contig-0007326	223368226	7297470	4184952	4251274	3021580	2955298
lg8.2	contig-0007326	223368226	7297470	4251272	4269717	2951526	2933138
lg8.2	contig-0007326	223368226	7297470	4274820	4308361	2933143	2899601
lg8.2	contig-0007326	223368226	7297470	4308358	4323376	2899052	2884042
lg8.2	contig-0007326	223368226	7297470	4345271	4416147	2858164	2787337
lg8.2	contig-0007326	223368226	7297470	4425322	4450363	2777671	2752736
lg8.2	contig-0007326	223368226	7297470	4548975	4564509	2601447	2585859
lg8.2	contig-0007326	223368226	7297470	4563403	4584962	2583094	2561541
lg8.2	contig-0007326	223368226	7297470	4585345	4637257	2561549	2509707
lg8.2	contig-0007326	223368226	7297470	4647404	4704471	2509715	2452648
lg8.2	contig-0007326	223368226	7297470	4720599	4738567	2434809	2416833
lg8.2	contig-0007326	223368226	7297470	4938604	4950885	2366125	2353877
lg8.2	contig-0007326	223368226	7297470	4985347	5000226	2336210	2321339
lg8.2	contig-0007326	223368226	7297470	5000226	5020395	2321231	2301151
lg8.2	contig-0007326	223368226	7297470	5025034	5036180	2292850	2281618
lg8.2	contig-0007326	223368226	7297470	5078538	5090077	2239241	2227712
lg8.2	contig-0007326	223368226	7297470	5090368	5101191	2227714	2216882
lg8.2	contig-0007326	223368226	7297470	5126814	5137287	2189315	2178880
lg8.2	contig-0007326	223368226	7297470	5230759	5251509	2087431	2066573
lg8.2	contig-0007326	223368226	7297470	5275784	5310746	2058661	2023659
lg8.2	contig-0007326	223368226	7297470	5324541	5339125	2009310	1994745
lg8.2	contig-0007326	223368226	7297470	5342543	5354340	1994750	1982978
lg8.2	contig-0007326	223368226	7297470	5374204	5394272	1956795	1936657
lg8.2	contig-0007326	223368226	7297470	5651421	5665532	1663848	1649726
lg8.2	contig-0007326	223368226	7297470	5691276	5714749	1635192	1611642
lg8.2	contig-0007326	223368226	7297470	5721938	5735394	1603375	1589990
lg8.2	contig-0007326	223368226	7297470	5761832	5781923	1582707	1562614
lg8.2	contig-0007326	223368226	7297470	5781918	5812693	1557033	1526253
lg8.2	contig-0007326	223368226	7297470	5813003	5899928	1526252	1439289
lg8.2	contig-0007326	223368226	7297470	5899917	5983282	1437324	1354092
lg8.2	contig-0007326	223368226	7297470	5980856	5991041	1349333	1339197
lg8.2	contig-0007326	223368226	7297470	6173345	6189160	1163388	1147589
lg8.2	contig-0007326	223368226	7297470	6189156	6201616	1146896	1134437
lg8.2	contig-0007326	223368226	7297470	6402138	6413472	808221	796894
lg8.2	contig-0007326	223368226	7297470	6546986	6559450	668698	656244
lg8.2	contig-0007326	223368226	7297470	6575138	6637893	640909	578192
lg8.2	contig-0007326	223368226	7297470	6637876	6650567	578028	565296
lg8.2	contig-0007326	223368226	7297470	6702549	6728593	503357	477369
lg8.2	contig-0007326	223368226	7297470	6728592	6743602	477300	462319
lg8.2	contig-0007326	223368226	7297470	6743602	6767940	462361	437987
lg8.2	contig-0007326	223368226	7297470	6776007	6803138	429201	402050
lg8.2	contig-0007326	223368226	7297470	6816278	6830716	389095	374646
lg8.2	contig-0007326	223368226	7297470	6864492	6901423	326806	289890
lg8.2	contig-0007326	223368226	7297470	6904643	6919168	289895	275370
lg8.2	contig-0007326	223368226	7297470	6917437	6958160	284267	243549
lg8.2	contig-0007326	223368226	7297470	6972989	6985131	228668	216453
lg8.2	contig-0007326	223368226	7297470	7011988	7040161	184452	156246
lg8.2	contig-0007326	223368226	7297470	7116791	7177450	60628	1
lg8.1	contig-0007326	5342064	7297470	3313948	3775840	7297470	6835577
lg8.1	contig-0007326	5342064	7297470	3752373	5341563	6855573	5266383
