lg2.3	 bctg00000135	28685892	6564693	9846	45983	1730324	1766303	
lg2.3	 bctg00000135	28685892	6564693	44490	97344	1764561	1817228	
lg2.3	 bctg00000135	28685892	6564693	97603	165274	1817222	1884795	
lg2.3	 bctg00000135	28685892	6564693	163906	394352	1883147	2112889	
lg2.3	 bctg00000135	28685892	6564693	400302	437598	2152386	2189401	
lg2.3	 bctg00000135	28685892	6564693	437737	552006	2189401	2303030	
lg2.3	 bctg00000135	28685892	6564693	552174	757162	2303030	2507882	
lg2.3	 bctg00000135	28685892	6564693	757088	970608	2507871	2720850	
lg2.3	 bctg00000135	28685892	6564693	975017	1417124	2725671	3166840	
lg2.3	 bctg00000135	28685892	6564693	10517443	10532465	856397	871404	
lg2.3	 bctg00000135	28685892	6564693	12860401	13543249	3167197	3848622	
lg2.2	 bctg00000135	121346419	6564693	115580639	115662461	3883964	3965629	
lg2.2	 bctg00000135	121346419	6564693	116521131	116615590	3851562	3945810	
lg2.2	 bctg00000135	121346419	6564693	116637784	116815533	3967964	4145092	
lg2.2	 bctg00000135	121346419	6564693	116815591	116999138	4145242	4328431	
lg2.2	 bctg00000135	121346419	6564693	116999155	117024205	4328541	4353524	
lg2.2	 bctg00000135	121346419	6564693	117024630	117167502	4353524	4496105	
lg2.2	 bctg00000135	121346419	6564693	117167515	117499228	4496298	4827280	
lg2.2	 bctg00000135	121346419	6564693	117502301	117683048	4830810	5011096	
lg2.2	 bctg00000135	121346419	6564693	117681947	117876330	5009581	5203428	
lg2.2	 bctg00000135	121346419	6564693	117876445	117976775	5203428	5303717	
lg2.2	 bctg00000135	121346419	6564693	117986036	118086719	5313613	5414027	
lg2.2	 bctg00000135	121346419	6564693	118086739	118108303	5414074	5435668	
lg2.2	 bctg00000135	121346419	6564693	118108241	118184618	5435795	5511924	
lg2.2	 bctg00000135	121346419	6564693	118185894	118212168	5512235	5538383	
lg2.2	 bctg00000135	121346419	6564693	118215522	118291260	5542490	5618036	
lg2.2	 bctg00000135	121346419	6564693	118288155	118856481	5614937	6181168	
lg2.2	 bctg00000135	121346419	6564693	118874270	118955805	6199106	6280341	
lg2.2	 bctg00000135	121346419	6564693	118946204	118991962	6270826	6316385	
lg2.2	 bctg00000135	121346419	6564693	118992062	119026992	6316583	6351350	
lg2.2	 bctg00000135	121346419	6564693	119025662	119099419	6350287	6423804	
lg2.2	 bctg00000135	121346419	6564693	119094857	119131062	6419279	6455421	
lg2.2	 bctg00000135	121346419	6564693	119140794	119200953	6465142	6525205	
lg2.2	 bctg00000135	121346419	6564693	119199218	119240499	6523472	6564677	
