lg4.2	 bctg00000906	23937278	1946739	99624	299662	919950	721013	
lg4.2	 bctg00000906	23937278	1946739	301442	999773	719637	24502	
lg4.1	 bctg00000906	70593574	1946739	69670770	69763098	1946739	1855157	
lg4.1	 bctg00000906	70593574	1946739	69771204	69864741	1847354	1754241	
lg4.1	 bctg00000906	70593574	1946739	69854950	70004816	1764015	1614612	
lg4.1	 bctg00000906	70593574	1946739	70007362	70028650	1613197	1592027	
lg4.1	 bctg00000906	70593574	1946739	70042269	70196525	1578303	1425216	
lg4.1	 bctg00000906	70593574	1946739	70196669	70222808	1425215	1399102	
lg4.1	 bctg00000906	70593574	1946739	70224028	70315141	1397563	1306835	
lg4.1	 bctg00000906	70593574	1946739	70315159	70531170	1306649	1091646	
lg4.1	 bctg00000906	70593574	1946739	70521732	70565049	1100952	1058349	
