lg5.1.L	100000	54988	58709	-	bctg00000906	1946739	1000451	1004143	3561	3729	60
lg5.1.L	100000	52730	56450	-	bctg00000906	1946739	1000451	1004143	3560	3728	1
lg5.1.L	100000	93325	97363	-	bctg00000906	1946739	1000138	1004143	3861	4046	23
lg5.1.L	100000	79777	83814	-	bctg00000906	1946739	1000138	1004143	3860	4045	60
lg5.1.L	100000	88809	92846	-	bctg00000906	1946739	1000138	1004143	3861	4045	60
lg5.1.L	100000	73310	77040	-	bctg00000906	1946739	1000138	1003842	3571	3738	60
lg5.1.L	100000	84293	88330	-	bctg00000906	1946739	1000138	1004143	3861	4045	60
lg5.1.L	100000	86551	90588	-	bctg00000906	1946739	1000138	1004143	3861	4045	60
lg5.1.L	100000	82035	86072	-	bctg00000906	1946739	1000138	1004143	3859	4049	60
lg5.1.L	100000	50472	54509	-	bctg00000906	1946739	1000138	1004143	3855	4045	60
lg5.1.L	100000	57247	60968	-	bctg00000906	1946739	1000451	1004143	3560	3729	60
lg5.1.L	100000	77519	81556	-	bctg00000906	1946739	1000138	1004143	3859	4045	60
lg5.1.L	100000	75261	79298	-	bctg00000906	1946739	1000138	1004143	3860	4045	60
lg5.1.L	100000	64024	68061	-	bctg00000906	1946739	1000138	1004143	3856	4045	60
lg5.1.L	100000	59506	63545	-	bctg00000906	1946739	1000138	1004143	3858	4047	60
lg5.1.L	100000	66282	70319	-	bctg00000906	1946739	1000138	1004143	3857	4045	60
lg5.1.L	100000	68540	72577	-	bctg00000906	1946739	1000138	1004143	3858	4045	60
lg5.1.L	100000	61766	65803	-	bctg00000906	1946739	1000138	1004143	3856	4045	60
lg5.1.L	100000	95583	99111	-	bctg00000906	1946739	1000649	1004143	3372	3536	60
lg5.1.R	100000	87947	91984	-	bctg00000906	1946739	1000138	1004143	3861	4045	60
lg5.1.R	100000	76653	80374	-	bctg00000906	1946739	1000451	1004143	3562	3729	60
lg5.1.R	100000	85689	89726	-	bctg00000906	1946739	1000138	1004143	3861	4045	60
lg5.1.R	100000	78912	82633	-	bctg00000906	1946739	1000451	1004143	3560	3729	60
lg5.1.R	100000	74394	78115	-	bctg00000906	1946739	1000451	1004143	3558	3729	60
lg5.1.R	100000	81171	84892	-	bctg00000906	1946739	1000451	1004143	3561	3729	60
lg5.1.R	100000	83430	87468	-	bctg00000906	1946739	1000138	1004143	3859	4046	60
lg5.1.R	100000	63108	67136	-	bctg00000906	1946739	1000138	1004132	3848	4036	60
lg5.1.R	100000	67615	71337	-	bctg00000906	1946739	1000451	1004143	3557	3730	60
lg5.1.R	100000	56331	60041	-	bctg00000906	1946739	1000451	1004132	3546	3718	60
lg5.1.R	100000	69875	73597	-	bctg00000906	1946739	1000451	1004143	3558	3730	60
lg5.1.R	100000	58579	62618	-	bctg00000906	1946739	1000138	1004143	3858	4047	60
lg5.1.R	100000	65356	69077	-	bctg00000906	1946739	1000451	1004143	3558	3729	60
lg5.1.R	100000	60838	64877	-	bctg00000906	1946739	1000138	1004143	3857	4047	60
lg5.1.R	100000	72135	75856	-	bctg00000906	1946739	1000451	1004143	3556	3729	60
lg5.1.R	100000	96979	99997	-	bctg00000906	1946739	1001154	1004143	2880	3023	31
