lg2.2.L	100000	44327	61506	+	bctg00001114	1513422	293739	323809	16761	30159	24
lg2.2.L	100000	23200	35185	+	bctg00001114	1513422	166576	178556	11705	12050	0
lg2.2.L	100000	13365	22222	+	bctg00001114	1513422	155016	165597	8598	10692	60
lg2.2.L	100000	82691	89791	+	bctg00001114	1513422	354030	360238	6052	7122	32
lg2.2.L	100000	67606	71990	+	bctg00001114	1513422	340617	345009	4285	4397	36
lg2.2.L	100000	73614	77855	+	bctg00001114	1513422	345106	349207	4001	4273	34
lg2.2.L	100000	36479	39397	+	bctg00001114	1513422	285876	288793	2869	2922	36
lg2.2.L	100000	61530	67354	+	bctg00001114	1513422	336009	340366	4220	5886	26
lg2.2.L	100000	77462	81454	+	bctg00001114	1513422	348814	352810	3891	4012	33
lg2.2.L	100000	0	1625	+	bctg00001114	1513422	151033	152797	1599	1764	23
lg2.2.L	100000	39479	43603	+	bctg00001114	1513422	288873	293016	3981	4179	28
lg2.2.R	100000	30980	32559	+	bctg00001114	1513422	511684	513259	1549	1581	60
